ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
125,Chateau Club,,1121 7th Ave.,Huntington,WV,(*),Bars/Clubs,,,1971,,4/14/2020 4:02am,7/27/2020 1:17pm
126,Pad,,1202 4th Ave.,Huntington,WV,,Bars/Clubs,,,1971,,4/14/2020 4:02am,7/27/2020 1:17pm
128,Steve's,,36 16th St.,Wheeling,WV,,Bars/Clubs,,,1971,,4/14/2020 4:02am,7/27/2020 1:17pm
130,Quarrier Diner,,1022 Quarrier,Charlestown,WV,,Bars/Clubs,,,1970,,4/14/2020 4:05am,7/27/2020 1:17pm
131,Pad ,,1202 4th Ave.,Huntington,WV,,Bars/Clubs,,,1970,,4/14/2020 4:05am,7/27/2020 1:17pm
134,Hickory House,,1139 Main St.,Wheeling,WV,,Bars/Clubs,,,1970,,4/14/2020 4:05am,7/27/2020 1:17pm
135,Steve's ,,36 16th St.,Wheeling,WV,,Bars/Clubs,,,1970,,4/14/2020 4:06am,7/27/2020 1:17pm
136,Bamboo Room,,714 Patrick St.,Charlestown,WV,,Bars/Clubs,,,1969,,4/14/2020 4:07am,7/27/2020 1:17pm
138,Quarrier Diner,,1022 Quarrier,Charlestown,WV,,Restaurant,,,1969,,4/14/2020 4:07am,7/27/2020 1:17pm
139,Pad,,1202 4th Ave.,Huntington,WV,,Bars/Clubs,,,1969,,4/14/2020 4:08am,7/27/2020 1:17pm
140,Sammy's ,,(Inquire locally),Huntington,WV,,Bars/Clubs,,,1969,,4/14/2020 4:08am,7/27/2020 1:17pm
142,Hickory House,,1139 Main St.,Wheeling,WV,,Bars/Clubs,,,1969,,4/14/2020 4:08am,7/27/2020 1:17pm
143,Steve's ,,36 16th St.,Wheeling,WV,,Bars/Clubs,,,1969,,4/14/2020 4:09am,7/27/2020 1:17pm
144,Bamboo Room,,714 Patrick St.,Charlestown,WV,(*),Bars/Clubs,,,1968,,4/14/2020 4:09am,7/27/2020 1:17pm
146,Quarrier Diner,,1022 Quarrier,Charlestown,WV,,Restaurant,,,1968,,4/14/2020 4:10am,7/27/2020 1:17pm
147,Pad,,1202 4th Ave.,Huntington,WV,,Bars/Clubs,,,1968,,4/14/2020 4:10am,7/27/2020 1:17pm
150,Hickory House,,1139 Main St.,Wheeling,WV,,Bars/Clubs,,,1968,,4/14/2020 4:11am,7/27/2020 1:17pm
152,Quarrier Diner,,1022 Quarrier,Charlestown,WV,,Restaurant,,,1966,,4/14/2020 4:12am,7/27/2020 1:17pm
153,Pad ,,1202 4th Ave.,Huntington,WV,,Bars/Clubs,,,1966,,4/14/2020 4:13am,7/27/2020 1:17pm
156,Hickory House,,1139 Main St.,Wheeling,WV,,Bars/Clubs,,,1966,,4/14/2020 4:13am,7/27/2020 1:17pm
158,Quarrier Diner,,1022 Quarrier,Charlestown,WV,,Restaurant,,,1965,,4/14/2020 4:14am,7/27/2020 1:17pm
159,Hickory House,,1139 Main St.,Wheeling,WV,,Bars/Clubs,,,1965,,4/14/2020 4:15am,7/27/2020 1:17pm
