ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
220,Ivanhoe Cabaret,(Several bars - Sunday brunch) (Disco),1014 Oak ,Kansas City,MO,"(YC),(D),(E),(S),(R),(*)","Restaurant,Bars/Clubs",,,1977,,3/23/2020 6:59pm,7/23/2020 7:22pm
278,Ivanhoe Cabaret,(K.C.'s super bar also serves Sunday brunch),1014 Oak,Kansas City,MO,"(YC),(D),(E),(S),(R),(*)","Bars/Clubs,Restaurant",,,1976,,3/23/2020 7:49pm,7/23/2020 7:22pm
390,Ivanhoe Cabaret,(Only place open on Sundays - serves Sunday brunch),1014 Oak,Kansas City,MO,(*),Bars/Clubs,,,1974,,3/29/2020 10:06pm,7/23/2020 7:22pm
337,Ivanhoe Cabaret ,(3 rooms only place open on Sundays - serves brunch),1014 Oak,Kansas City,MO,"(YC),(D),(E),(S),(R),(*)","Restaurant,Bars/Clubs",,,1975,,3/23/2020 8:22pm,7/23/2020 7:22pm
62,Jefferson Ave. Boarding House,,3265 S. Jefferson,St. Louis,MO,"(M),(R)",Restaurant,,,1980,,3/20/2020 9:24pm,7/23/2020 7:22pm
129,Jefferson Ave. Boarding House,,3265 S. Jefferson,St. Louis,MO,"(M),(R)",Restaurant,,,1979,,3/20/2020 10:56pm,7/23/2020 7:22pm
193,Jefferson Ave. Boarding House,,3265 So. Jefferson,St. Louis,MO,"(M),(R)",Restaurant,,,1978,,3/22/2020 2:06am,7/23/2020 7:22pm
312,Jefferson Ave. Boarding House,,3265 S. Jefferson,St. Louis,MO,"(M),(R)",Restaurant,,,1976,,3/23/2020 8:09pm,7/23/2020 7:22pm
416,Jefferson Ave. Boarding House,,3265 S. Jefferson,St. Louis,MO,"(R),(*)",Restaurant,,,1974,,3/29/2020 10:24pm,7/23/2020 7:22pm
468,Jefferson Ave. Boarding House,,3265 S. Jefferson ,St. Louis,MO,"(R),(*)",Restaurant,,,1973,,3/29/2020 11:41pm,7/23/2020 7:22pm
254,Jefferson Avenue Boarding House,,3265 South Jefferson,St. Louis,MO,"(M),(R)",Restaurant,,,1977,,3/23/2020 7:18pm,7/23/2020 7:22pm
157,Jeremy's,(Disco),3701 Broadway at 37th St.,Kansas City,MO,"(YC),(*),(D)",Bars/Clubs,,,1978,,3/22/2020 1:52am,7/23/2020 7:22pm
556,Jerome's,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1970,,3/30/2020 3:53am,7/23/2020 7:22pm
604,Jerome's,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1968,,3/30/2020 1:44pm,7/23/2020 7:22pm
647,Jerome's,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1965,,3/30/2020 2:29pm,7/23/2020 7:22pm
530,Jerome's ,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1971,,3/30/2020 3:28am,7/23/2020 7:22pm
580,Jerome's ,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1969,,3/30/2020 1:32pm,7/23/2020 7:22pm
624,Jerome's ,,424 Francis St.,St. Joseph,MO,(M),Bars/Clubs,,,1966,,3/30/2020 1:52pm,7/23/2020 7:22pm
17,Jewel Box,(Touristy),3112 Main St.,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1980,,3/20/2020 8:56pm,7/23/2020 7:22pm
89,Jewel Box,(Touristy),3112 Main St.,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1979,,3/20/2020 10:38pm,7/23/2020 7:22pm
158,Jewel Box,(Touristy),3112 Main St.,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1978,,3/22/2020 1:53am,7/23/2020 7:22pm
221,Jewel Box,(Touristy),3112 Main St.,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1977,,3/23/2020 7:00pm,7/23/2020 7:22pm
338,Jewel Box,,3112 Main St.,Kansas City,MO,"(M),(S),(*)",Bars/Clubs,,,1975,,3/23/2020 8:23pm,7/23/2020 7:22pm
443,Jewel Box,(May be moving to 3112 Main),3219 Troost,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1973,,3/29/2020 10:40pm,7/23/2020 7:22pm
489,Jewel Box,,3219 Troost,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1972,,3/30/2020 2:46am,7/23/2020 7:22pm
525,Jewel Box,,3219 Troost,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1971,,3/30/2020 3:27am,7/23/2020 7:22pm
550,Jewel Box,,3219 Troost,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1970,,3/30/2020 3:50am,7/23/2020 7:22pm
575,Jewel Box,,3219 Troost ,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1969,,3/30/2020 1:29pm,7/23/2020 7:22pm
597,Jewel Box,,3219 Troost ,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1968,,3/30/2020 1:41pm,7/23/2020 7:22pm
619,Jewel Box,,3219 Troost,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1966,,3/30/2020 1:50pm,7/23/2020 7:22pm
640,Jewel Box,,3219 Troost Av.,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1965,,3/30/2020 2:27pm,7/23/2020 7:22pm
279,Jewel Box ,,3112 Main St.,Kansas City,MO,"(M),(S),(*)",Bars/Clubs,,,1976,,3/23/2020 7:50pm,7/23/2020 7:22pm
391,Jewel Box ,,3112 Main ,Kansas City,MO,"(M),(S)",Bars/Clubs,,,1974,,3/29/2020 10:07pm,7/23/2020 7:22pm
507,John's Pub,,16 N. 9th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1972,,3/30/2020 2:56am,7/23/2020 7:22pm
536,John's Pub,,16 N. 9th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1971,,3/30/2020 3:43am,7/23/2020 7:22pm
561,John's Pub,,16 N. 9th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1970,,3/30/2020 8:59am,7/23/2020 7:22pm
586,John's Pub,,16 N 9th St.,St. Louis,MO,"(RT),(*)",Bars/Clubs,,,1969,,3/30/2020 1:37pm,7/23/2020 7:22pm
392,Jug ,"(No neon sign, but don't miss it!) (Opens 2pm)",1822 Main St.,Kansas City,MO,"(YC),(D),(*)",Bars/Clubs,,,1974,,3/29/2020 10:07pm,7/23/2020 7:22pm
444,Jug ,"(visited Dec. 26, 1972) (opens 2 p.m.)",1822 Main St.,Kansas City,MO,"(YC),(D),(*)",Bars/Clubs,,,1973,,3/29/2020 10:40pm,7/23/2020 7:22pm
18,Kenny's Korral ,(Disco),1706 W. 39th St.,Kansas City,MO,"(R),(D)",Bars/Clubs,,,1980,,3/20/2020 8:56pm,7/23/2020 7:22pm
417,Kerpen's Steam Baths,,1550 S. Kingshighway,St. Louis,MO,(M),Baths,,,1974,,3/29/2020 10:25pm,7/23/2020 7:22pm
63,Kitty Kat Klub,,2800 California,St. Louis,MO,"(*),(PT),(L)",Bars/Clubs,,,1980,,3/20/2020 9:24pm,7/23/2020 7:22pm
64,Lee's Cafeteria,(Breakfast & lunch),32 N. Euclid,St. Louis,MO,(M),Bars/Clubs,,,1980,,3/20/2020 9:25pm,7/23/2020 7:22pm
194,Lee's Cafeteria,(Breakfast & lunch),32 No. Euclid,St. Louis,MO,(M),Restaurant,,,1978,,3/22/2020 2:06am,7/23/2020 7:22pm
130,Lee's Cafeteria ,(Breakfast & Lunch),32 N. Euclid,St. Louis,MO,(M),Restaurant,,,1979,,3/20/2020 10:59pm,7/23/2020 7:22pm
19,M.C.C.,,4000 Harrison,Kansas City,MO,M.C.C.,Church,,,1980,,3/20/2020 8:56pm,7/23/2020 7:22pm
418,Mandrake Society,,"P.O. Box 7213 Main Station, 63177",St. Louis,MO,,Bars/Clubs,,,1974,,3/29/2020 10:25pm,7/23/2020 7:22pm
470,Mandrake Society,,"P.O. Box 7213 Main Sta. St. Louis, MO 63177",St. Louis,MO,,Bars/Clubs,,,1973,,3/29/2020 11:42pm,7/23/2020 7:22pm
538,Mandrake Society,,"P.O. Box 7213, Main Station, St. Louis 63177",St. Louis,MO,,Bars/Clubs,,,1971,,3/30/2020 3:44am,7/23/2020 7:22pm
366,Mandrake Society ,,P.O. Box 7213 Main Station 63177,St. Louis,MO,,Bars/Clubs,,,1975,,3/29/2020 9:49pm,7/23/2020 7:22pm
