ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
968,Duo,(Beer & Wine),4094 18th St. ,San Francisco,CA,(R),Restaurant,,1985,,,12/5/2021 12:17pm
3839,Duplex,(Cabaret),55 Grove St. ,Greenwich Village & Chelsea,NY,"(*),(E)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2992,Dusty Miller Inn,,82 Bradford St. ,Provincetown,MA,"(M),(H)",Hotel,,1985,,,12/5/2021 12:17pm
1999,Dusty's ,,1815 Briar Cliff Rd. ,Atlanta,GA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
1709,Duval House,(Pool),815-D Duval St. ,Key West,FL,(H),Hotel,,1985,,,12/5/2021 12:17pm
2928,Duval Street,(Some L)(C-AH)(Opens 9pm),477 Yarmouth Rd. ,Hyannis,MA,"(L),(C),(AH)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
247,E & G Cafe,,729 Lincoln Way,Auburn,CA,(M),Restaurant,,1985,,,12/5/2021 12:17pm
5159,E.J.'s ,(Cruisy),1213 Richmond,Houston,TX,,"Bars/Clubs,Cruising Areas",,1985,,,12/9/2021 2:09am
894,Eagle,"(Some W,SM)",2103 El Cajon Blvd. ,San Diego,CA,"(AH),(*),(W),(SM)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
499,Eagle ,(Some W)(Cruisy),7864 Santa Monica Blvd. ,Hollywood West,CA,"(W),(*)","Cruising Areas,Bars/Clubs",,1985,,,12/5/2021 12:17pm
969,Eagle Creek Saloon,(DJ),1884 Market St. ,San Francisco,CA,(B),Bars/Clubs,,1985,,,12/5/2021 12:17pm
5157,Eagle Crest Inn,(Guest House),104 Avondale,Houston,TX,"(H),(*)",Hotel,,1985,,,12/9/2021 2:09am
5158,Eagle Leathers,(& at Mary's),1625 Richmond ,Houston,TX,(*),Erotic Shop,,1985,,,2/1/2022 5:01am
5483,Eagle's Nest,(Juice bar- no booze)(Twinkies)(Disco),708 Union St. ,Seattle,WA,"(AH),(D),(PT)",Restaurant,,1985,checked,,12/13/2021 12:09pm
823,Earhart's Cafe ,(at 'S'),1905 16th St. ,Sacramento,CA,"(R),(M)",Restaurant,,1985,,,2/1/2022 5:00am
3428,Earl ,(R & Bar),12 S. Euclid,St. Louis,MO,"(R),(M)","Restaurant,Bars/Clubs",,1985,,,12/5/2021 12:17pm
1710,Early House ,(Pool),511 Simonton St. ,Key West,FL,"(M),(H),(*)",Hotel,,1985,,,12/5/2021 12:17pm
3800,East Hills Depot,"(Very M, YC)",1876 Judd Falls Rd. ,Ithaca,NY,"(M),(YC),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4583,Eastern Adult Books,,1313 State St. ,Erie,PA,,Book Store,,1985,,,12/5/2021 12:17pm
5484,Eastlake East,(Disco),101 Eastlake East,Seattle,WA,"(D),(L)",Bars/Clubs,,1985,,,12/10/2021 2:21pm
3917,Eastside Sauna ,(Baths),227 E. 56th St. ,Midtown- N.Y.C.,NY,(*),Bathhouses,,1985,,,12/5/2021 12:17pm
4393,Eastwood Theatre,(Balcony),817 E. Broadway,Toledo,OH,,Theatre,,1985,,,12/5/2021 12:17pm
564,Eat 'n High,,4514 Fountain,Silverlake,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4015,Econotraveler Motel ,,5345 Slater Ave. ,Niagara Falls,NY,"(M),(H)",Hotel,,1985,,,12/5/2021 12:17pm
307,Eddie's ,,4101 N. Arden Pt. ,El Monte,CA,(PT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
450,Eddie's Silvermine,(Occ. S),6365 Yucca,Hollywood,CA,"(S),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1438,Edible Art,,59 Arch St. ,New Britain,CT,(R),Restaurant,,1985,,,12/5/2021 12:17pm
3714,Eightballs Lounge,(Disco)(Wed. & WE*),369 Central Ave. ,Albany,NY,"(YC),(D),(WE),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5029,Eighth Day ,"(Some YC, hustlers)(Go go boys)",2509 N. Fitzhugh,Dallas,TX,(YC),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4651,El Bravo,"(Some B, Latins, RT, 'Drags')",3600 N. 5th St. ,Philadelphia,PA,"(B),(RT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
347,El Capitan,,13825 S. Hawthorne,Hawthorne,CA,,Bars/Clubs,,1985,checked,,12/5/2021 12:17pm
1779,El Carol,(Liquor)(Neighborhood- Fun days),930 Le June Rd. ,Miami,FL,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
