"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Barracks ","(Health Club) ","1813 Sansom St. ","Philadelphia","PA","(*)","Baths",1978,NA,-75.171114,39.9510527,"Google Verified Location",NA,NA,NA,"1978-PA-0136"
"Barracks's ","(Health Club)(Baths)(Some SM)","1813 Sansom St. ","Philadelphia","PA","(SM),(P),(*)","Baths",1979,NA,-75.171114,39.9510527,"Google Verified Location",NA,NA,NA,"1979-PA-0137"
"Bellevue Baths, Inc.","(looking up)","100 S. Juniper ","Philadelphia","PA","(OC)","Baths",1980,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1980-PA-0138"
"Bellevue Court Health Baths","","1418 Walnut St. ","Philadelphia","PA","","Baths",1965,NA,-75.1660498,39.949105,"Google Verified Location",NA,NA,NA,"1965-PA-0139"
"Bellevue Court Health Baths","","1418 Walnut St. ","Philadelphia","PA","","Baths",1966,NA,-75.1660498,39.949105,"Google Verified Location",NA,NA,NA,"1966-PA-0140"
"Bellevue Health Sauna","","100 So. Juniper ","Philadelphia","PA","(OC)","Baths",1978,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1978-PA-0141"
"Bellevue Health Sauna Baths ","","100 S. Juniper ","Philadelphia","PA","(OC)","Baths",1977,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1977-PA-0142"
"Bellevue Health Sauna Baths ","","100 S. Juniper","Philadelphia","PA","","Baths",1974,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1974-PA-0143"
"Bellevue Health Sauna Baths ","","100 S. Juniper ","Philadelphia","PA","","Baths",1972,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1972-PA-0144"
"Bellevue Health Sauna Baths ","","100 S. Juniper ","Philadelphia","PA","","Baths",1973,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1973-PA-0145"
"Bellevue Health Sauna Baths ","","100 S. Juniper ","Philadelphia","PA","(OC)","Baths",1976,NA,-75.162894,39.9501916,"Google Verified Location",NA,NA,NA,"1976-PA-0146"
