ID,title,description,streetaddress,city,Year,notes,full.address,lat,lon,geoAddress,status
52,Adam & Eve Book Store,,1251 N. Vine St.,Los Angeles,1972,,"1251 N. Vine St., Los Angeles , CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
85,Adam & Eve Book Store ,,1251 N. Vine St. ,Hollywood,1976,,"1251 N. Vine St. , Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
107,Adam & Eve Book Store ,,1251 N. Vine St. ,Hollywood,1977,,"1251 N. Vine St. , Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
551,Adam Theater,,72- 6th Street,San Francisco,1977,,"72- 6th Street, CA",37.781166,-122.409266,unclear_coded_by_hand,Found
221,Adam Theatre,,72 - 6th St.,San Francisco,1975,,"72 - 6th St., San Francisco, CA",37.7811658,-122.4092659,"72 6th st, san francisco, ca 94103, usa",Geocoded
414,Adam Theatre ,,72 6th St. ,San Francisco,1976,,"72 6th St. , San Francisco, CA",37.7811658,-122.4092659,"72 6th st, san francisco, ca 94103, usa",Geocoded
1536,Adam's End ,(Cruisy),1813 Adams Ave.,San Diego,1980,,"1813 Adams Ave., San Diego , CA",32.7623408,-117.1459023,"1813 adams ave, san diego, ca 92116, usa",Geocoded
1589,Adonis Book Store,,384 Ellis St.,San Francisco,1980,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
492,Adonis Book Store,,384 Ellis St.,San Francisco,1978,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
479,Adonis Book Store,,384 Ellis St.,San Francisco,1979,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
376,Adonis Book Store,,384 Ellis St.,San Francisco,1973,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
319,Adonis Book Store,,384 Ellis St.,San Francisco,1972,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
,Adonis Book Store,,384 Ellis St.,San Francisco,1974,,"384 Ellis St., San Francisco, CA",37.7850859,-122.4125233,"384 ellis st, san francisco, ca 94102, usa",Geocoded
238,Adonis Book Store,,350 Ellis St,San Francisco,1970,added bs as type,"350 Ellis St, San Francisco, CA",37.7851909,-122.4121045,"350 ellis st, san francisco, ca 94102, usa",Geocoded
213,Adonis Book Store,,350 Ellis St,San Francisco,1969,,"350 Ellis St, San Francisco, CA",37.7851909,-122.4121045,"350 ellis st, san francisco, ca 94102, usa",Geocoded
