"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"La Vista Guest House","(see also Finocchio's)","151 Calle Tetuan","San Juan","PR","(H),(*)","Hotels",1977,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0085"
"La Vista Guest House","(also rooftop bar & R)","151 Calle Tetuan","San Juan","PR","(H),(*),(R)","Hotels,Restaurant",1979,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1979-PR-0086"
"La Vista Guest House","(also rooftop bar & R)","151 Calle Tetuan","San Juan","PR","(R),(H),(*)","Hotels,Bars/Clubs,Restaurant",1980,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1980-PR-0087"
"La Vista Guest House","(see also Finocchio's)","151 Calle Tetuan ","San Juan","PR","(H),(*)","Hotels",1976,NA,"151 Calle Tetuan , San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0088"
"Finocchio's","(Rooftop bar & R above La Vista Guest House)","151 Calle Tetuan nr. San Jose","San Juan","PR","(R)","Restaurant",1976,NA,"151 Calle Tetuan nr. San Jose, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0089"
" Finocchio's ","(Rooftop bar R above La Vista Guest House)","151 Calle Tetuan nr. San Jose","San Juan","PR","(R)","Restaurant",1977,NA,"151 Calle Tetuan nr. San Jose, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0090"
"Staircase","","151 Tetuan","San Juan","PR","","Bars/Clubs",1968,NA,"151 Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1968-PR-0091"
"Annex","","151 Tetuan","San Juan","PR","(*)","Bars/Clubs",1969,NA,"151 Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1969-PR-0092"
"Annex","","151 Tetuan","San Juan","PR","(*)","Bars/Clubs",1970,NA,"151 Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1970-PR-0093"
"Annex ","","151 Tetuan","San Juan","PR","(D),(*)","Bars/Clubs",1971,NA,"151 Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1971-PR-0094"
"Annex","","151 Tetuan","San Juan","PR","(YC),(D),(*)","Bars/Clubs",1972,NA,"151 Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0095"
"St. Marks South Baths","(above Rialto Theatre)","152 Calle Tanca","San Juan","PR","","Baths",1971,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Google Verified Location",NA,"1971-PR-0096"
"St. Marks South Baths ","(above Rialto Theatre)","152 Calle Tanca","San Juan","PR","","Baths",1972,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0097"
"Lion of St. Marks Baths","(opens 8 pm)","152 Calle Tanca","San Juan","PR","","Baths",1974,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Google Verified Location",NA,"1974-PR-0098"
"Lion of St. Marks Baths","(Opens 8 p.m. recently remodeled)","152 Calle Tanca","San Juan","PR","","Baths",1975,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Google Verified Location",NA,"1975-PR-0099"
