"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","'block'","","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","'block'","","Peoria","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","on I-74 betw. Peoria & Bloomington","Peoria","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Books, peep shows)","Franklin & Adams","Peoria","IL","(*)","Book Store,Cruisy Area",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Rockford","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Rockford","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
