"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","Indiana Univ.","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1975,"",NA,NA,NA,NA,NA,NA
"Found","","7th & Washington","Bloomington","IN","","Book Store",1980,"",NA,NA,NA,NA,NA,NA
"Found","(Open 24 hrs)","","Bloomington","IN","(M),(R)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA
"Found","('Books n things)","14th & College","Bloomington","IN","(M)","Book Store",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","10 mi. S. on Hwy 41","Terre Haute","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","10 mi. S. on Hwy 41","Terre Haute","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","R.R.2","Brazil","IN","(M)","Hotels",1972,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(HOT)","","Indianapolis","IN","Cruisy Area,(AYOR),(HOT)","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","(HOT)","","Indianapolis","IN","Cruisy Area,(AYOR),(HOT)","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Indianapolis","IN","(AYOR),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Indianapolis","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","417 (?) or 508 S. Alabama","Indianapolis","IN","(YC),(D)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","May be opening summer of '720Inquire Locally","","Indianapolis","IN","","Baths",1973,"",NA,NA,NA,NA,NA,NA
"Found","","240 N. Illinois Street","Indianapolis","IN","Cruisy Area","Cruising Areas,Theatre",1973,"",NA,NA,NA,NA,NA,NA
"Found","","240 N. Illinois Street","Indianapolis","IN","Cruisy Area","Cruising Areas,Theatre",1975,"",NA,NA,NA,NA,NA,NA
"Found","","240 N. Illinois Street","Indianapolis","IN","Cruisy Area","Cruising Areas,Theatre",1976,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","240 N. Illinois Street","Indianapolis","IN","Cruisy Area,(AYOR),(HOT)","Cruising Areas,Theatre",1979,"",NA,NA,NA,NA,NA,NA
"Found","","240 N. Illinois Street","Indianapolis","IN","Cruisy Area","Cruising Areas,Theatre",1974,"",NA,NA,NA,NA,NA,NA
"Found","","240 N. Illinois Street","Indianapolis","IN","Cruisy Area","Cruising Areas,Theatre",1977,"",NA,NA,NA,NA,NA,NA
