ID,Title,status,description,streetaddress,lat/lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1017,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1974,checked,,,3/2/2020 7:44pm,3/2/2020 8:07pm
767,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1975,checked,,,3/2/2020 3:31am,3/2/2020 3:51am
660,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1976,checked,,,3/2/2020 1:19am,3/2/2020 2:13am
553,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
410,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1978,checked,,,2/28/2020 1:49am,3/13/2020 9:32pm
257,Discount Book Store,General City Coordinates Used,,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1979,checked,,,2/27/2020 2:34pm,3/13/2020 8:50pm
100,Discount Book Store,General City Coordinates Used,(Movie arcade-cruisy),," 39.758948,-84.191607",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1980,checked,,,2/20/2020 11:44pm,3/10/2020 10:46am
101,E. 5th St. betw Brown & Wayne,Found,,,"39.75714,-84.183771",Dayton,OH,Cruisy Area,Cruising Areas,1980,checked,,Pin halfway between bruce and wayne.,2/20/2020 11:44pm,2/27/2020 2:10am
1045,Eden Park,Found,,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1972,checked,,,3/2/2020 9:16pm,3/2/2020 11:10pm
880,Eden Park,Found,,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1973,checked,,,3/2/2020 3:52am,3/2/2020 7:08pm
810,Eden Park,Found,,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1974,checked,,,3/2/2020 3:52am,3/2/2020 8:07pm
759,Eden Park,Found,,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1975,checked,,,3/2/2020 3:04am,3/2/2020 3:51am
489,Eden Park,Found,Ohio Park Overlook,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
345,Eden Park,Found,Ohio River Overlook,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
188,Eden Park,Found,Ohio River Overlook,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 11:55am,2/27/2020 10:27pm
33,Eden Park,Found,Ohio River Overlook,,"39.11765,-84.488329",Cincinnati,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
