"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","","Calle San Jose","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Opens 12 noon)","Calle Luna & Calle San Justo","San Juan","(R),(S)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Opens ar 12 noon)","Old San Juan","San Juan","(PE),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Opens at 12 noon)","San Jose at Tetuan","San Juan","(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Opens at 12 noon)","San Jose at Tetuan","San Juan","(PE),(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Moved to a new location on Calle San Sebastian","","San Juan","(M),(R)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna","San Juan","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","Calle Forteleza & Calle Tanca","","San Juan","(YC),(D),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Calle Fortaleza nr. Calle Tanca","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Some G)","Calle Fortleza at Calle Tanca","San Juan","(YC),(D),(G),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Natives) ('flicks')","Calle Fortaleza at Tanca","San Juan","(G),(D)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","(natives) ('flicks')","Calle Fortaleza at Tanca","San Juan","(G),(D)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","264 Calle San Francisco","San Juan","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","Bus Stop","","San Juan","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","Bus Stop","","San Juan","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","bus stop","","San Juan","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","San Juan","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","Bus stop","","San Juan","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Balcony","","San Juan","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","San Juan","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","San Juan","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","San Juan","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","balcony","","San Juan","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","balcony ","","San Juan","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","Balcony ","","San Juan","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","Balcony","","San Juan","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Cruz nr. Calle Luna","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Calle Vending nr. Atlantic Beach Hotel","San Juan","(RT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
