"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","","North of Monument Square","Baltimore","MD","(AYOR),Cruisy Area","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","at Eastern Ave. ","Baltimore","MD","Cruisy Area,(RT),(HOT)","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","at Eastern Ave. ","Baltimore","MD","Cruisy Area,(RT),(HOT)","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","at Eastern Ave.","at Eastern Ave. ","Baltimore","MD","(RT),Cruisy Area","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","at Eastern Ave. ","Baltimore","MD","Cruisy Area,(RT),(HOT)","Cruisy Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","at Eastern Ave.","at Eastern Ave. ","Baltimore","MD","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","(HOT)","at Eastern Ave. ","Baltimore","MD","Cruisy Area,(RT),(HOT)","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Broadway and Bond","Baltimore","MD","(G)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Broadway & Bond","Baltimore","MD","(G)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Baltimore","MD","(G)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","So. Broadway","Baltimore","MD","(G)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(See Gallery)","","Baltimore","MD","(SM)","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","Tel: 235-STU'S","","Baltimore","MD","","Business",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(By appt.) Tel: 235-7887","","Baltimore","MD","","Business",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Hanover & Ostend","Baltimore","MD","","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA
"Found","(can enter thru back of Leon's also)"," Chase & Park","Baltimore","MD","(YC),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","(after hours)","Howard & Franklin","Baltimore","MD","(C)","Restaurant",1971,"",NA,NA,NA,NA,NA,NA
"Found","(after hours)","Howard & Franklin","Baltimore","MD","(C)","Restaurant",1972,"",NA,NA,NA,NA,NA,NA
