"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
93,"La Boheme","(Still called ""The Gold Coin"" - below ""Fife & Drum"")","Dorrence at corner Weybosset","Providence","RI","(OC),(E),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:52am","7/27/2020 1:16pm","Dorrence at corner Weybosset, Providence, RI","-71.4109933","41.8230796","weybosset st & dorrance st, providence, ri 02903, usa","Geocoded"
94,"M.C.C.","","37 Clemence Street","Providence","RI","M.C.C.","Church",NA,NA,1977,NA,"4/20/2020 2:52am","7/27/2020 1:16pm","37 Clemence Street, Providence, RI","-71.4142941","41.8232809","37 clemence st, providence, ri 02903, usa","Geocoded"
95,"Mirabar","(Open 11:30 a.m. - 1 a.m. weekdays 2 a.m. WE)","109 Eddy St.","Providence","RI","(D),(E),(R),(*)","Restaurant,Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:53am","7/27/2020 1:16pm","109 Eddy St., Providence, RI","-71.4116268","41.8226411","109 eddy st, providence, ri 02903, usa","Geocoded"
96,"Tony Martin's Bar","","125 Broadway","Providence","RI","(M)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:53am","7/27/2020 1:16pm","125 Broadway, Providence, RI","-71.4214869","41.8218312","125 broadway, providence, ri 02903, usa","Geocoded"
97,"Y.M.C.A.","","160 Broad St.","Providence","RI","(M),(H)","Hotels",NA,NA,1977,NA,"4/20/2020 2:53am","7/27/2020 1:16pm","160 Broad St., Providence, RI","-71.4167171","41.8169108","160 broad st, providence, ri 02903, usa","Geocoded"
105,"High Street Cafe","(Some G)","281 High St.","Providence","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:55am","7/27/2020 1:16pm","281 High St., Providence, RI","-71.3836801","41.8828859","281 high st, pawtucket, ri 02860, usa","Geocoded"
106,"Marti's ","(also called 'The Railroad')","Railroad St.","Central Falls","RI","(G),(D)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 2:57am","7/27/2020 1:16pm","Railroad St., Central Falls, RI","-71.3855796","41.8860945","railroad st, central falls, ri, usa","Geocoded"
107,"David's","","28 Prospect Hill off Thomas","Newport","RI","(YC),(R),(D),(*)","Restaurant,Bars/Clubs",NA,NA,1976,NA,"4/20/2020 2:57am","7/27/2020 1:16pm","28 Prospect Hill off Thomas, Newport, RI","-71.3139778","41.4853787","28 prospect hill st, newport, ri 02840, usa","Geocoded"
108,"King Bar","","38 Bellevue Ave.","Newport","RI","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 2:58am","7/27/2020 1:16pm","38 Bellevue Ave., Newport, RI","-71.3089454","41.4870733","muenchinger king building, 38 bellevue ave, newport, ri 02840, usa","Geocoded"
109,"Venetian Room","","3 Farewell St.","Newport","RI","(M),(RT)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 2:58am","7/27/2020 1:16pm","3 Farewell St., Newport, RI","-71.3132894","41.490839","3 farewell st, newport, ri 02840, usa","Geocoded"
111,"Beirut","(lunch) (supposedly starting AH, WE in Spring of '75)","125 Washington St.","Providence","RI","(M),(R),(AH),(WE)","Restaurant",NA,NA,1976,NA,"4/20/2020 2:58am","7/27/2020 1:16pm","125 Washington St., Providence, RI","-71.415196","41.823065","125 washington st, providence, ri 02903, usa","Geocoded"
112,"Buttery","","Dorrence & Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",NA,NA,1976,NA,"4/20/2020 2:59am","7/27/2020 1:16pm","Dorrence & Weybosset, Providence, RI","-82.5020582","40.0868803","dorrence rd, granville township, oh 43023, usa","Geocoded"
113,"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 2:59am","7/27/2020 1:16pm","681 Valley, Providence, RI","-71.4288774","41.8309289","681 valley st, providence, ri 02908, usa","Geocoded"
114,"Clemence St. Book Store","","33 Clemence St.","Providence","RI","","Book Store",NA,NA,1976,NA,"4/20/2020 3:17am","7/27/2020 1:16pm","33 Clemence St., Providence, RI","-71.4143206","41.8233015","33 clemence st, providence, ri 02903, usa","Geocoded"
115,"Dorrwar Bookstore","","224 Thayer","Providence","RI","(HIP)","Book Store",NA,NA,1976,NA,"4/20/2020 3:18am","7/27/2020 1:16pm","224 Thayer, Providence, RI","-71.4008301","41.827862","224 thayer st, providence, ri 02906, usa","Geocoded"
116,"Fanning's Bar","(closes 12 pm)","93 Clemence","Providence","RI","","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:18am","7/27/2020 1:16pm","93 Clemence, Providence, RI","-71.412755","41.822005","93 clemence st, providence, ri 02903, usa","Geocoded"
117,"Fife & Drum","(Disco) (upstairs)","123 Weybosset","Providence","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:18am","7/27/2020 1:16pm","123 Weybosset, Providence, RI","-71.4114172","41.8230957","123 weybosset st, providence, ri 02903, usa","Geocoded"
118,"Gallery ","","194 Richmond","Providence","RI","(M),(HIP),(YC),(RT),(D),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:21am","7/27/2020 1:16pm","194 Richmond, Providence, RI","-71.409122","41.8194591","194 richmond st, providence, ri 02903, usa","Geocoded"
119,"Homestead ","(known locally as a 'disaster area')","124 Snow St.","Providence","RI","(M),(RT),(B),(G),(D),(YC)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:21am","7/27/2020 1:16pm","124 Snow St., Providence, RI","-71.4135536","41.8211599","124 snow st, providence, ri 02903, usa","Geocoded"
120,"La Boheme","(still called 'Gold Coin' or 'Annex' below Fife & Drum - no sign)","Dorrence St. at corner of Weybosset","Providence","RI","(OC),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:24am","7/27/2020 1:16pm","Dorrence St. at corner of Weybosset, Providence, RI","-71.4112331","41.823642","60 dorrance st, providence, ri 02903, usa","Geocoded"
121,"M.B. Lounge","(also upstairs bar - pool table WE) (this is small alley off 190 Weybosset betw. Palace Theatre & Dunkin Donuts)","91 Clemence ","Providence","RI","(*),(WE)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:25am","7/27/2020 1:16pm","91 Clemence , Providence, RI","-71.4127064","41.8220629","91 clemence st, providence, ri 02903, usa","Geocoded"
122,"M.C.C.","","37 Clemence St.","Providence","RI","M.C.C.","Church",NA,NA,1976,NA,"4/20/2020 3:25am","7/27/2020 1:16pm","37 Clemence St., Providence, RI","-71.4142941","41.8232809","37 clemence st, providence, ri 02903, usa","Geocoded"
123,"Tony Martin's Bar","","125 Broadway","Providence","RI","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:26am","7/27/2020 1:16pm","125 Broadway, Providence, RI","-71.4214869","41.8218312","125 broadway, providence, ri 02903, usa","Geocoded"
124,"Y.M.C.A.","","160 Broad St.","Providence","RI","(M),(H)","Hotels",NA,NA,1976,NA,"4/20/2020 3:26am","7/27/2020 1:16pm","160 Broad St., Providence, RI","-71.4167171","41.8169108","160 broad st, providence, ri 02903, usa","Geocoded"
132,"High St. Cafe","","281 High St.","Woonsocket","RI","(G)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:28am","7/27/2020 1:16pm","281 High St., Woonsocket, RI","-71.51802","42.003424","281 high st, woonsocket, ri 02895, usa","Geocoded"
133,"Sixty One East Club","","61 E. Mill St.","Woonsocket","RI","(D),(G),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:29am","7/27/2020 1:16pm","61 E. Mill St., Woonsocket, RI","-71.4970904","42.0129068","61 e mill st, woonsocket, ri 02895, usa","Geocoded"
134,"David's","","28 Prospect Hill off Thomas Venetian Room","Newport","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1975,NA,"4/20/2020 3:29am","7/27/2020 1:16pm","28 Prospect Hill off Thomas Venetian Room, Newport, RI","-71.3139778","41.4853787","28 prospect hill st, newport, ri 02840, usa","Geocoded"
