"title","description","streetaddress","city","state","amenityfeatures","type","notes","Year","lon","lat","status","unclear_address","full.address","geoAddress"
"Gator Lodge ","","4141 Phillips Hwy.","Jacksonville","FL","(M),(H)","Hotels","",1973,-81.6286296,30.2816812,"Geocoded",NA,NA,NA
"Gatsby's","(Unisex)","N. Dale Mabry","Tampa","FL","(M)","Bars/Clubs","",1976,-82.457178,27.950575,"General City Coordinates Used",NA,NA,NA
"Gatsby's","(liquor)","1300 E. Cary","Richmond","VA","(M),(R)","Restaurant,Bars/Clubs","",1980,-77.433529,37.5353544,"Geocoded",NA,NA,NA
"Gatsby's ","(Liquor) ","1300 E. Cary St.","Richmond","VA","(M),(R),(*),(YC),(D)","Restaurant","",1979,-77.433529,37.5353544,"Geocoded",NA,NA,NA
"Gay 90's","","716 Louisiana Ave","Shreveport","LA","","Bars/Clubs","",1966,-93.7497571,32.5093508,"Geocoded",NA,NA,NA
"Gay 90's","","716 Louisiana Ave","Shreveport","LA","(M)","Bars/Clubs","",1968,-93.7497571,32.5093508,"Geocoded",NA,NA,NA
"Gay 90's ","","716 Louisana Ave","Shreveport","LA","","Bars/Clubs","",1969,-93.7497571,32.5093508,"Geocoded",NA,NA,NA
"Gay 90's","(Cruisy) (D-WE*) ","716 Louisiana Ave. ","Shreveport","LA","(P),(D),(WE),(*)","Bars/Clubs,Cruising Areas","",1978,-93.7497571,32.5093508,"Geocoded",NA,NA,NA
"Gay 90's Gift Shop","","600 N. Atlantic Ave. ","Daytona Beach","FL","","Book Store","",1979,-81.0122607,29.2361259,"Geocoded",NA,NA,NA
"Gay 90's Gift Shop ","","228 So Seabreeze","Daytona Beach","FL","","Book Store","",1978,-81.0172258,29.233687,"Geocoded",NA,NA,NA
"Gay 90s","","","Dallas","TX","(*)","Bars/Clubs","",1966,-96.806336,32.788517,"Found",NA,NA,NA
"Gay Counseling Center","","P.O. Box 114","Dodson","LA","","Bars/Clubs","",1977,-92.660428,32.080437,"General City Coordinates Used",NA,NA,NA
"Gay Paree Cinema","(Theatre)","90 Walton St. N.W.","Atlanta","GA","","Theatre","",1974,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Paree Cinema","","90 Walton St. N.W.","Atlanta","GA","","Theatre","",1975,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Paree Cinema","","90 Walton St.","Atlanta","GA","","Theatre","",1980,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Paree Cinema ","(Theatre)","90 Walton St. N.W.","Atlanta","GA","","Theater","",1973,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Paree Cinema ","","90 Walton St. N.W. ","Atlanta","GA","","Theatre","",1976,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Paree Cinema ","","90 Walton Street N.W.","Atlanta","GA","","Theatre","",1977,-84.3913343,33.7565103,"Geocoded",NA,NA,NA
"Gay Silhouette","(Latins)","Bandera & Culebra","San Antonio","TX","(HIP),(RT)","Bars/Clubs","",1973,-98.541804,29.446992,"Found",NA,NA,NA
"Gay Silhouette","(Latins)","","San Antonio","TX","(RT),(HIP)","Bars/Clubs","",1974,-98.541804,29.446992,"Found",NA,NA,NA
"Gay Silhouette","Latins","2522 Culebra","San Antonio","TX","(HIP),(RT)","Bars/Clubs","",1975,-98.548331,29.4471929,"Geocoded",NA,NA,NA
"Gay Silhouette","(Latins)","2522 Culebra","San Antonio","TX","(HIP),(RT)","Bars/Clubs","",1976,-98.548331,29.4471929,"Geocoded",NA,NA,NA
"Gay Silhouette ","(Latins) ","2522 Culebra ","San Antonio","TX","(HIP),(RT),(*)","Bars/Clubs","",1977,-98.548331,29.4471929,"Geocoded",NA,NA,NA
"Gay Spot ","","1707 So. Hackberry ","San Antonio","TX","","Bars/Clubs","",1978,-98.473701,29.400398,"Geocoded",NA,NA,NA
"Gay St.","N. of Andrew Johnson Hotel","","Knoxville","TN","Cruisy Area","Cruising Areas","",1980,-83.920739,35.960638,"General City Coordinates Used",NA,NA,NA
"Gay St. -N. of Andrew Johnson Hotel","","","Knoxville","TN","Cruisy Area","Cruising Areas","",1979,-83.920739,35.960638,"General City Coordinates Used",NA,NA,NA
