"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"'Walking the Block'","around La Fonda Hotel- also infamous T-Room",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1978,NA,-105.938512,35.687428,"Found",NA,NA,NA
"'Walking the block'","around La Fonda Hotel",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1974,NA,-105.938512,35.687428,"Found",NA,NA,NA
"Walking the Block","around La Fonda Hotel- also infamous ""john'",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1977,NA,-105.938512,35.687428,"Found",NA,NA,NA
"Adult Theatres & Arcades","4200 Block on Central N.E.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.564133,35.075459,"General Coordinates Used",NA,NA,NA
"Alley & parking ltos","behind Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.650422,35.084386,"General Coordinates Used",NA,NA,NA
"Alley & Street","behind Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.650422,35.084386,"General Coordinates Used",NA,NA,NA
"Alley & Street behind Heights","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.650422,35.084386,"General Coordinates Used",NA,NA,NA
"Central Ave.","Hitchhiking or by car betw. U. of N.M. & Mildred's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Central Ave.","hitch-hiking or by car from U. of N.M. to Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Central Avenue","""Hitch-hiking"" or by car from University of New Mexico to area near The Loon",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Central Avenue","'Hitch-hiking or by car from U. of N.m. to Height's",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Central Avenue","'HItch-hikers' or by car from U. of N.M. to Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Central Avenure","'Hitch-hiker' or by car from U. of N.M. to Heights",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.566819,35.075621,"Found",NA,NA,NA
"Grey Hound Bus Depot","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.647797,35.081988,"Found",NA,NA,NA
"Grey Hound Bus Depot","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.647797,35.081988,"Found",NA,NA,NA
"Greyhound Bus Deopt","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,-106.647797,35.081988,"Found",NA,NA,NA
"Greyhound Bus Depot","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.647797,35.081988,"Found",NA,NA,NA
"Jacque's","S Main & Poe",NA,"Roswell","NM","(M)","Bars/Clubs",1965,NA,-104.522981,33.365435,"Found",NA,NA,NA
"Jacque's","S Main & Poe St.",NA,"Roswell","NM","(M)","Bars/Clubs",1966,NA,-104.522981,33.365435,"Found",NA,NA,NA
"Jacque's","S Main & Poe Sts.",NA,"Roswell","NM","(M)","Bars/Clubs",1968,NA,-104.522981,33.365435,"Found",NA,NA,NA
"Jacque's","S Main at Poe",NA,"Roswell","NM","(M)","Bars/Clubs",1969,NA,-104.522981,33.365435,"Found",NA,NA,NA
"Limelight","15 mi. N.E. on Hwy. 10",NA,"Cedar Crest","NM","(G)","Bars/Clubs",1972,NA,-106.372802,35.107546,"General Coordinates Used",NA,NA,NA
"Limelight","15 mi. N.E. on Hwy. 10 (Cedar Creek)",NA,"Albuquerque","NM","(M),(S)","Bars/Clubs",1973,NA,-106.650422,35.084386,"General Coordinates Used",NA,NA,NA
"Mustang Lounge","",NA,"Bernalillo","NM","(YC),(D),(M),(*)","Bars/Clubs",1971,NA,-106.551137,35.30004,"General Coordinates Used",NA,NA,NA
"Plaza Bar","on Main Plaza",NA,"Santa Fe","NM","","Bars/Clubs",1968,NA,-105.938772,35.687846,"General Coordinates Used",NA,NA,NA
