"ID","title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
4826,"MCC","2123 S. Polk St.","372-4557 worship 11am Sun","Amarillo","TX","",1990,"Religious Organizations",NA,"","","4/25/2023 9:36pm","2123 S. Polk St., Amarillo, TX",-101.8402566,35.1895234,"2123 s polk st, amarillo, tx 79109, usa","Geocoded"
5356,"Neighbours","1509 Broadway","324-5358 9pm-2am, Sun-Thurs, 8pm-4am Fri & Sat","Seattle","WA","(*),(YC),(F)",1990,"Bars",NA,"","","4/25/2023 9:36pm","1509 Broadway, Seattle, WA",-122.3211302,47.6143808,"1509 broadway, seattle, wa 98122, usa","Geocoded"
5301,"S.N.A.F.U.","1284 Laskan Rd.","491-8383 3 clubs in one","Virginia Beach","VA","(*),(MW),(D),(E),(F)",1990,"Bars",NA,"","","4/25/2023 9:36pm","1284 Laskan Rd., Virginia Beach, VA",-76.0022725,36.8536322,"1284 laskin rd, virginia beach, va 23451, usa","Geocoded"
4974,"Lambda AA","3144 Ryan Ave","921-2871 6:30 Sun-Thurs, 8pm & 11:30pm Fri, 2pm, 6:30 & 8pm Sun","Ft. Worth","TX","",1990,"Info Lines & Services",NA,"","","4/25/2023 9:36pm","3144 Ryan Ave, Ft. Worth, TX",-97.3429843,32.7042962,"3144 ryan ave, fort worth, tx 76110, usa","Geocoded"
5017,"Lazy J.","312 Tuam","528-9343","Houston","TX","(OC),(S),(E)",1990,"Bars",NA,"","","4/25/2023 9:36pm","312 Tuam, Houston, TX",-95.381327,29.7467309,"312 tuam st, houston, tx 77006, usa","Geocoded"
5480,"Love Nest Bookstore","1614 Main","465-6969","Green Bay","WI","",1990,"Erotica/Adult Books",NA,"","","4/25/2023 9:36pm","1614 Main, Green Bay, WI",-87.984752,44.5041958,"1614 main st, green bay, wi 54302, usa","Geocoded"
5218,"Twiin's Restaurant & Guest House","5 Garden St","776-0131 300 yr. old fortress, courtyard, yr-round","Charlottte Amalie","VI","(MX),(MW)",1990,"Accommodations",NA,"","","4/25/2023 9:36pm","5 Garden St, Charlottte Amalie, VI",-64.9311202,18.342445,"5 garden st, charlotte amalie, st thomas 00802, usvi","Geocoded"
5353,"IROC","1914 8th Ave.","624-8260 lunch 11am-2am daily, dinner 5pm-7pm daily, 10am-2pm Sun brunch","Seattle","WA","(D),(F)",1990,"Bars",NA,"","","4/25/2023 9:36pm","1914 8th Ave., Seattle, WA",-122.3356327,47.6154856,"1914 8th ave, seattle, wa 98101, usa","Geocoded"
5532,"Loose Ends","4322 W. Fond du Lac Ave.","442-8469 noon-2am","Milwaukee","WI","(MX),(MW),(F)",1990,"Bars",NA,"","","4/25/2023 9:36pm","4322 W. Fond du Lac Ave., Milwaukee, WI",-87.9678494,43.0835518,"4322 w fond du lac ave, milwaukee, wi 53216, usa","Geocoded"
5021,"Numbers II","300 Westheimer","526-6551 new wave, punk","Houston","TX","(MX),(MW),(YC),(D)",1990,"Bars",NA,"","","4/25/2023 9:36pm","300 Westheimer, Houston, TX",-95.3850437,29.7448316,"300 westheimer rd, houston, tx 77006, usa","Geocoded"
4764,"MCC Knoxville","934 Weisgarber Rd","(Church of Christ) 521-6546 worship 6pm Sun","Knoxville","TN","",1990,"Religious Organizations",NA,"","","4/25/2023 9:36pm","934 Weisgarber Rd, Knoxville, TN",-84.0099014,35.940785,"934 n weisgarber rd, knoxville, tn 37909, usa","Geocoded"
5260,"Late Show","113 E. Princess Anne Rd.","(Rear entrance) 623-3854","Norfolk","VA","(*),(MW),(PC),(D),(AH)",1990,"Bars",NA,"","","4/25/2023 9:36pm","113 E. Princess Anne Rd., Norfolk, VA",-76.2873537,36.8606543,"113 e princess anne rd, norfolk, va 23510, usa","Geocoded"
5336,"AA Gay/Lesbian","1818 15th Ave.","587-2838 noon daily, 5:30pm & 8pm daily, call for additional times","Seattle","WA","",1990,"Info Lines & Services",NA,"","","4/25/2023 9:36pm","1818 15th Ave., Seattle, WA",-122.3124534,47.6182011,"1818 15th ave, seattle, wa 98122, usa","Geocoded"
5212,"W.J.R. Books","9 N. Main","295-3423","White River Junction","VT","",1990,"Erotica/Adult Books",NA,"","","4/25/2023 9:36pm","9 N. Main, White River Junction, VT",-72.3186186,43.6487061,"9 n main st, white river junction, vt 05001, usa","Geocoded"
