"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
105,"Salty Dog","(Cruisy)(Disco)","95 Pequot Ave.","Bars/Clubs,Cruising Areas","(*),(YC),(D)","New London","CT",1981,NA,"","","3/17/2022 3:10pm","95 Pequot Ave., New London, CT",-72.1000971,41.3390739,"95 pequot ave, new london, ct 06320, usa"
107,"Alconcio's International Cafe","(Some L) (4 mi. W. on US 7)","235 Dansbury Rd.","Restaurant,Bars/Clubs","(*),(PT),(R),(D),(L)","New Milford","CT",1981,NA,"","","3/17/2022 3:10pm","235 Dansbury Rd., New Milford, CT",-73.4209278,41.5439632,"235 danbury rd, new milford, ct 06776, usa"
112,"Club Cafe","(Some L)(Disco)(D Wed-Sun.)","384 W. Main St.","Bars/Clubs","(L),(YC),(*),(D)","Waterbury","CT",1981,NA,"","","3/17/2022 3:10pm","384 W. Main St., Waterbury, CT",-73.0473,41.558052,"384 w main st, waterbury, ct 06702, usa"
114,"The Brook Cafe","(Disco)(Don't miss if anywhere in the area) in rear (Sunday afternoon Tea Dance - Summers) (US 1)Exit 18 off I-95","919 Post Rd. E.","Bars/Clubs","(*),(YC),(D),(L),(PT)","Westport","CT",1981,NA,"","","3/17/2022 3:10pm","919 Post Rd. E., Westport, CT",-73.3336109,41.1387307,"919 post rd e, westport, ct 06880, usa"
115,"Vincent's Cafe (Disco)","","925 Post Road E.","Bars/Clubs","(PT),(L),(D)","Westport","CT",1981,NA,"","","3/17/2022 3:10pm","925 Post Road E., Westport, CT",-73.3329661,41.138635,"925 post rd e, westport, ct 06880, usa"
118,"The Lobby","(Disco) (Rte. 86 off I95)","1019 S. College Ave.","Bars/Clubs","(YC),(*),(D),(L)","Newark","DE",1981,NA,"","","3/17/2022 3:10pm","1019 S. College Ave., Newark, DE",-75.7489248,39.6517084,"1019 s college ave, newark, de 19713, usa"
122,"Bob's Adult Books","","174 S. Dupont Hwy.","Erotic Shop,Book Store","(*)","Wilmington","DE",1981,NA,"","","3/17/2022 3:10pm","174 S. Dupont Hwy., Wilmington, DE",-75.5715099,39.7444538,"174 s dupont st, wilmington, de 19805, usa"
123,"Danceland","(Disco)","915 Shipley","Bars/Clubs","(BYOB),(P),(M),(YC),(D)","Wilmington","DE",1981,NA,"","","3/17/2022 3:10pm","915 Shipley, Wilmington, DE",-75.5489348,39.7452939,"915 n shipley st, wilmington, de 19801, usa"
124,"Renaissance","(Biz must be bad as they refuse to pay me for their Address Books 1-15-80)","107 W. 6th St.","Bars/Clubs","(PT)","Wilmington","DE",1981,NA,"","","3/17/2022 3:10pm","107 W. 6th St., Wilmington, DE",-75.551228,39.74245,"107 w 6th st, wilmington, de 19801, usa"
125,"Steak 'n ' Eggs","","702 Delaware Ave.","Restaurant","(M),(R),(C),(AH)","Wilmington","DE",1981,NA,"","","3/17/2022 3:10pm","702 Delaware Ave., Wilmington, DE",-75.5531103,39.7493991,"702 delaware ave, wilmington, de 19801, usa"
