"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Dartmouth College - Baker Library","","","Hanover","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Dartmouth College - Hopkins Center","","","Hanover","NH","Cruisy Areas","Crusing Areas",1977,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Dartmouth College - Hopkins Center","","","Hanover","NH","Cruisy Areas","Crusing Areas",1978,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Dartmouth College - Hopkins Center","","","Hanover","NH","Cruisy Areas","Crusing Areas",1979,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Dartmouth College - Hopkins Center","","","Hanover","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
"Elbo Room","","Maple St.","Manchester","NH","(D)","Bars/Clubs",1975,NA,"Maple St., NH",-71.454789,42.99564,"unclear_coded_by_hand","General Coordinates Used",NA
"Elbo Room","","Maple St.","Manchester","NH","(D)","Bars/Clubs",1974,NA,"Maple St., NH",-71.454789,42.99564,"unclear_coded_by_hand","General Coordinates Used",NA
"Goniff Inn","","Box 31, Sunapee, N.H. 03782","Sunapee","NH","(H)","Hotels",1976,NA,"Box 31, Sunapee, N.H. 03782, NH",-72.087863,43.387575,"unclear_coded_by_hand","General Coordinates Used",NA
"Goniff Inn","Box 31, Sunapee, NH 03782","","Sunapee","NH","(H)","Hotels",1977,NA,", NH",-72.087863,43.387575,"unclear_coded_by_hand","General Coordinates Used",NA
"Hampton Beach - Summers","","","Hampton","NH","","Bars/Clubs",1980,NA,", NH",-70.813482,42.91131,"unclear_coded_by_hand","General Coordinates Used",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1975,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1976,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1977,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1978,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1979,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hilton Park - Dover Point Rd.","","","Portsmouth","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-70.827825,43.121069,"unclear_coded_by_hand","Found",NA
"Hopkins Center - Dartmouth College","","","Hanover","NH","Cruisy Areas","Crusing Areas",1973,NA,", NH",-72.288693,43.704441,"unclear_coded_by_hand","Found",NA
